DATE;CMIG4;SUZB3
15/12/2021 10:00;14.03;58.43
14/12/2021 14:00;14.08;57.85
14/12/2021 10:00;14.21;58.33
13/12/2021 14:00;13.99;57.72
13/12/2021 10:00;13.96;57.98
10/12/2021 14:00;13.97;58.5
10/12/2021 10:00;14.09;58.65
09/12/2021 14:00;13.83;57.91
09/12/2021 10:00;13.81;57.92
08/12/2021 14:00;13.98;58.65
08/12/2021 10:00;13.93;58.96
07/12/2021 14:00;13.75;58.32
07/12/2021 10:00;13.7;58.05
06/12/2021 14:00;13.67;57.87
06/12/2021 10:00;13.8;58.17
03/12/2021 14:00;13.8;57.1
03/12/2021 10:00;13.75;56.28
02/12/2021 14:00;13.4;58.00
02/12/2021 10:00;13.59;57.53
01/12/2021 14:00;12.96;58.05
01/12/2021 10:00;13.2;58.72
30/11/2021 14:00;13.14;56.16
30/11/2021 10:00;13.17;54.74
29/11/2021 14:00;13.45;55.67
29/11/2021 10:00;13.47;55.63
26/11/2021 14:00;13.39;54.81
26/11/2021 10:00;13.31;54.88
25/11/2021 14:00;13.65;54.73
25/11/2021 10:00;13.7;55.14
24/11/2021 14:00;13.48;54.52
24/11/2021 10:00;13.52;54.67
23/11/2021 14:00;13.65;53.16
23/11/2021 10:00;13.44;53.2
22/11/2021 14:00;13.43;52.46
22/11/2021 10:00;13.55;52.23
19/11/2021 14:00;13.6;53.55
19/11/2021 10:00;13.62;54.22
18/11/2021 14:00;13.46;52.19
18/11/2021 10:00;13.53;52.07
17/11/2021 14:00;13.42;52.41
17/11/2021 10:00;13.44;52.51
16/11/2021 14:00;13.7;53.17
16/11/2021 10:00;13.78;52.66
12/11/2021 14:00;13.92;51.37
12/11/2021 10:00;13.83;51.9
11/11/2021 14:00;13.95;50.69
11/11/2021 10:00;13.78;51.1
10/11/2021 14:00;13.76;48.75
10/11/2021 10:00;13.85;49.01
09/11/2021 14:00;13.47;49.00
09/11/2021 10:00;13.54;49.3
08/11/2021 14:00;13.22;49.62
08/11/2021 10:00;13.32;50.15
05/11/2021 14:00;13.17;49.2
05/11/2021 10:00;13.27;50.00
04/11/2021 17:30;13.05;49.4
04/11/2021 14:00;13.04;49.3
04/11/2021 10:00;13.04;48.73
03/11/2021 17:30;13.43;50.00
03/11/2021 14:00;13.32;49.77
03/11/2021 10:00;13.38;49.22
01/11/2021 17:30;13.02;49.08
01/11/2021 14:00;13.03;48.91
01/11/2021 10:00;13.15;48.85
29/10/2021 17:30;12.9;49.36
29/10/2021 14:00;12.88;49.23
29/10/2021 10:00;13.00;50.31
28/10/2021 17:30;12.89;48.88
28/10/2021 14:00;12.96;48.91
28/10/2021 10:00;13.07;49.11
27/10/2021 17:30;13.6;48.34
27/10/2021 14:00;13.44;48.38
27/10/2021 10:00;13.58;48.48
26/10/2021 17:30;13.36;50.44
26/10/2021 14:00;13.37;50.45
26/10/2021 10:00;13.35;51.28
25/10/2021 17:30;13.53;51.45
25/10/2021 14:00;13.47;51.47
25/10/2021 10:00;13.54;51.46
22/10/2021 17:30;13.31;52.36
22/10/2021 14:00;13.37;52.8
22/10/2021 10:00;13.22;53.02
21/10/2021 17:30;13.82;49.11
21/10/2021 14:00;13.78;49.2
21/10/2021 10:00;13.82;48.39
20/10/2021 17:30;14.58;48.3
20/10/2021 14:00;14.81;48.4
20/10/2021 10:00;14.93;48.93
19/10/2021 17:30;14.82;48.79
19/10/2021 14:00;14.77;48.73
19/10/2021 10:00;14.84;49.14
18/10/2021 17:30;15.15;49.81
18/10/2021 14:00;15.11;49.8
18/10/2021 10:00;15.1;49.87
15/10/2021 17:30;14.98;50.67
15/10/2021 14:00;15.00;50.91
15/10/2021 10:00;15.04;51.34
14/10/2021 17:30;15.16;49.76
14/10/2021 14:00;15.09;49.86
14/10/2021 10:00;15.1;49.55
13/10/2021 17:30;15.05;51.00
13/10/2021 14:00;15.00;50.99
13/10/2021 10:00;15.04;51.78
11/10/2021 17:30;14.67;50.28
11/10/2021 14:00;14.58;50.2
11/10/2021 10:00;14.78;50.87
08/10/2021 17:30;14.17;49.48
08/10/2021 14:00;14.13;49.31
08/10/2021 10:00;14.15;49.75
07/10/2021 17:30;13.83;49.39
07/10/2021 14:00;13.74;49.43
07/10/2021 10:00;13.85;49.11
06/10/2021 17:30;13.91;49.76
06/10/2021 14:00;13.8;49.69
06/10/2021 10:00;13.7;49.89
05/10/2021 17:30;14.05;50.35
05/10/2021 14:00;14.08;50.35
05/10/2021 10:00;14.01;50.38
04/10/2021 17:30;14.05;51.22
04/10/2021 14:00;14.08;51.32
04/10/2021 10:00;14.03;51.33
01/10/2021 17:30;14.1;52.49
01/10/2021 14:00;14.18;52.47
01/10/2021 10:00;14.12;52.43
30/09/2021 17:30;13.95;54.52
30/09/2021 14:00;14.03;54.52
30/09/2021 10:00;14.14;55.01
29/09/2021 17:30;14.2;53.81
29/09/2021 14:00;14.23;54.00
29/09/2021 10:00;14.26;54.29
28/09/2021 17:30;14.16;53.38
28/09/2021 14:00;14.2;53.55
28/09/2021 10:00;14.26;53.36
27/09/2021 17:30;14.41;55.05
27/09/2021 14:00;14.48;54.99
27/09/2021 10:00;14.51;54.82
24/09/2021 17:30;14.18;55.59
24/09/2021 14:00;14.15;55.5
24/09/2021 10:00;14.08;55.39
23/09/2021 17:30;14.05;55.45
23/09/2021 14:00;14.08;55.83
23/09/2021 10:00;14.08;54.98
22/09/2021 17:30;14.00;53.84
22/09/2021 14:00;14.05;53.84
22/09/2021 10:00;14.17;54.19
21/09/2021 17:30;13.91;51.65
21/09/2021 14:00;13.95;51.95
21/09/2021 10:00;13.99;51.14
20/09/2021 17:30;13.77;51.88
20/09/2021 14:00;13.74;51.36
20/09/2021 10:00;13.75;51.08
17/09/2021 17:30;13.72;52.19
17/09/2021 14:00;13.76;52.61
17/09/2021 10:00;13.69;52.66
16/09/2021 17:30;13.83;54.98
16/09/2021 14:00;13.78;54.78
16/09/2021 10:00;13.78;55.67
15/09/2021 17:30;13.77;57.95
15/09/2021 14:00;13.75;58.12
